frame,tfidf_pearson,tfidf_p,distilbert_pearson,distilbert_p
technical,0.29973545239371674,1.1880711409558512e-45,0.4581398649869863,1.79114076088928e-111
political,0.7901564333750182,0.0,0.8092234530105533,0.0
development,0.33975175526361256,6.1233205773199945e-59,0.5025009856237427,3.050142785927733e-137
sustainability,0.10239638728115194,2.080193451300661e-06,0.22981729569092652,4.922072631321984e-27
