cluster,1_post_quake,2_pres_campaign,3_inter_election,4_local_campaign,5_post_local
0,0.1605960264900662,0.059602649006622516,0.4056291390728477,0.06291390728476821,0.31125827814569534
1,0.28530670470756064,0.11554921540656206,0.3223965763195435,0.09415121255349501,0.1825962910128388
2,0.19333333333333333,0.06666666666666667,0.4766666666666667,0.07666666666666666,0.18666666666666668
3,0.2247191011235955,0.07677902621722846,0.33146067415730335,0.028089887640449437,0.3389513108614232
