group_type,group,frame,rank,word,contribution
province,adiyaman,development,7,ayağa,0.0035
province,adiyaman,development,8,yaşam,0.0033
province,adiyaman,development,9,konteyner,0.0033
province,adiyaman,development,10,alt,0.0032
province,adiyaman,development,11,özel,0.0031
province,adiyaman,development,12,ediyor,0.0031
province,adiyaman,development,13,devam,0.0031
province,adiyaman,development,14,eğitim,0.003
province,adiyaman,development,15,araya,0.0029
province,adiyaman,development,16,inşa,0.0028
province,adiyaman,development,17,ederek,0.0028
province,adiyaman,development,18,hak,0.0027
province,adiyaman,development,19,valisi dr,0.0026
province,adiyaman,development,20,teslim,0.0026
province,adiyaman,sustainability,1,çevre,0.0051
province,adiyaman,sustainability,2,klim,0.0033
province,adiyaman,sustainability,3,alan,0.0023
province,adiyaman,sustainability,4,çalışmalar,0.0023
province,adiyaman,sustainability,5,kli,0.0023
province,adiyaman,sustainability,6,söyledi,0.002
province,adiyaman,sustainability,7,dedi,0.0019
province,adiyaman,sustainability,8,ni,0.0018
province,adiyaman,sustainability,9,yaşam,0.0016
province,adiyaman,sustainability,10,su,0.0015
province,adiyaman,sustainability,11,klim değişikliği,0.0015
province,adiyaman,sustainability,12,yardımcısı,0.0015
province,adiyaman,sustainability,13,dünya,0.0015
province,adiyaman,sustainability,14,değişikliği,0.0014
province,adiyaman,sustainability,15,büyük,0.0013
province,adiyaman,sustainability,16,rahat,0.0013
province,adiyaman,sustainability,17,sorunların,0.0013
province,adiyaman,sustainability,18,kalkınma,0.0012
province,adiyaman,sustainability,19,özel,0.0012
province,adiyaman,sustainability,20,yüzde,0.0012
