month,politicization,growth_vs_resilience
2023-02-01,1.3222885240224425,4.0720320486826
2023-03-01,2.510879055600431,6.671694890104828
2023-04-01,3.5916478645329466,6.5437345564773866
2023-05-01,2.747647105324599,4.545847942997781
2023-06-01,4.189849627846004,6.35031484997753
2023-07-01,3.2548481148270705,5.8201441777819785
2023-08-01,1.9453034169760846,7.551823226539321
2023-09-01,2.9648920467164155,6.563163103592257
2023-10-01,4.034794423050334,5.103549636782562
2023-11-01,2.2550515484224682,3.725259718330844
2023-12-01,1.821713013285505,4.531086569753207
2024-01-01,2.009967636403453,4.370118811113318
2024-02-01,3.9743106853233416,5.405564803662271
2024-03-01,4.097396478247769,5.0258979019190795
2024-04-01,6.420362177072687,6.416167385701786
2024-05-01,3.5610613634240638,4.695860834325816
2024-06-01,3.2208860559351056,3.712629806712443
2024-07-01,2.7799302243208177,4.167704652413416
2024-08-01,1.8629088112717866,4.301681461622909
2024-09-01,1.8311279211144855,4.6010736409212525
2024-10-01,2.668034734269531,7.8660713071679975
2024-11-01,3.071495558129357,5.11756134131642
2024-12-01,2.8262655153637652,6.6735027080811555
