province,technical,political,development,sustainability
national,0.6081825026878824,0.7962569969620563,0.6585131272827417,0.2648100648501836
kahramanmaras,0.21345477059216802,0.37182647935444896,0.46248591114099463,0.10724948406275538
hatay,0.32036967947947265,0.2613647553798494,0.4502567084952919,0.2150263209984934
adiyaman,0.30633045836170214,0.5622523596595744,0.44659439574468085,0.11200953336170213
