,coef,se,z,p
Intercept,1.2831171432130997,0.16796772816001632,7.639069464526685,2.1879724637696456e-14
C(period)[T.2_pres_campaign],0.08516320999134139,0.04836800049873514,1.7607345582451455,0.07828334070924999
C(period)[T.3_inter_election],-0.010621028806256257,0.03291608244015519,-0.32266989322214684,0.7469452552381466
C(period)[T.4_local_campaign],-0.08138201173958305,0.05437210176701991,-1.4967604542546182,0.13445559958712036
C(period)[T.5_post_local],0.06727105223181296,0.04366330414786995,1.5406770867361093,0.12339539612527534
C(province)[T.hatay],0.1939046131648834,0.18193915851633413,1.0657662415618736,0.2865293248486239
C(province)[T.kahramanmaras],0.15784335546753842,0.1931629826496394,0.8171511606539851,0.41384204895963295
C(province)[T.national],0.2506269295995844,0.13873435240912224,1.8065239448445707,0.07083653738360844
Group Var,0.2720732625204747,0.16489708836699443,1.649957953866046,0.09895153605504114
