party,Technical,Political,Development,Sustainability,n,split
AKP,0.68231783944644,0.9945482327536,1.497858862878,0.36157982163167995,500,pre_local
AKP_govt,1.418660029694323,2.8409241344978167,1.9917985365502184,0.6071858280663756,229,pre_local
CHP,0.8270623814125785,0.601154336027044,1.2451321216666666,0.6865940684402516,159,pre_local
STATE,1.7191308082610945,1.9485582360650888,1.756631772560651,0.7361204842396449,676,pre_local
AKP_govt,1.0703569540229885,2.7950084298850575,1.8783246200000001,0.5613153074942528,87,post_local
CHP,1.0131147327732921,0.7151600100145963,1.3834409623291926,0.6435930860186336,322,post_local
STATE,0.5235184227448979,1.351656752755102,1.1962727664489796,0.23218222557653062,98,post_local
