event,n,pre_technical,post_technical,delta_technical,pre_political,post_political,delta_political,pre_development,post_development,delta_development,pre_sustainability,post_sustainability,delta_sustainability
Earthquake (Feb 2023),150,1.4757506999999999,1.6415028998321675,0.1657521998321676,2.0877375833333334,1.5412506565384616,-0.5464869267948718,1.9476135666666663,1.7050768264335665,-0.2425367402330998,0.8424831833333334,0.5915250470454546,-0.2509581362878788
Quake anniversary,145,1.3754470005571429,1.3010446222428569,-0.07440237831428598,1.4645128449042855,1.981136995285714,0.5166241503814286,1.5767916207142856,1.6225608265714286,0.04576920585714306,0.7855180447142857,0.6657260010000001,-0.11979204371428553
Pres. 1st (2023-05),360,1.3230119307172414,0.9814133783671875,-0.341598552350054,1.863630571775,1.5913773853234376,-0.27225318645156227,1.7480653778405175,1.6670802254687502,-0.08098515237176729,0.6290537881646552,0.5193155351250001,-0.10973825303965512
Pres. runoff (2023-05),311,1.3193024086281917,0.968412309295082,-0.35089009933310966,1.8130057762276595,1.429071739134426,-0.38393403709323337,1.8077618914521276,1.567326615680328,-0.24043527577179957,0.6353064739478723,0.507643432032787,-0.12766304191508537
Local (2024-03),93,1.1727415368214285,0.5671392591621621,-0.6056022776592663,1.976432495357143,1.4899266450000002,-0.4865058503571429,1.5412486789285715,1.1907074011081082,-0.3505412778204633,0.7229394653035713,0.3545375618648649,-0.36840190343870644
