period,mean,std,count
1_post_quake,0.8310002290153761,0.14943706130267692,475
2_pres_campaign,0.8437011446978551,0.1404724644556935,178
3_inter_election,0.8252618257139873,0.15586721690872188,791
4_local_campaign,0.816419653614255,0.19421966797781431,142
5_post_local,0.8342564489587747,0.12876483589600887,553
