doc_id,source,period,province,disagree_score,tfidf_score_technical,tfidf_score_political,tfidf_score_development,tfidf_score_sustainability,distilbert_score_technical_0to3,distilbert_score_political_0to3,distilbert_score_development_0to3,distilbert_score_sustainability_0to3
csb_0918,CSB,5_post_local,hatay,4.758312673090005,0.4551800192311882,2.999987607260894,0.0376914149397005,3.0,2.0420356,1.7838094,1.9929703,3.0
csb_0516,CSB,3_inter_election,national,4.6188937465620175,1.0467169518326234,1.1989950434424337,1.1997618395595182,0.4615795186034074,2.6186674,1.7590647,2.0233898,2.1248252
csb_0196,CSB,2_pres_campaign,national,4.510034902554223,0.7022965472258411,1.6619757880349808,1.5753703680530042,0.607293494131951,2.0286465,2.6527336,2.5510292,1.8245618
hatay_bld_0039,Hatay Belediye,3_inter_election,hatay,4.48150833076257,1.150234213665026,0.6196023326979133,0.5484210139940897,1.9053307088804008,2.3447614,1.505794,1.8545412,3.0
hatay_bld_0018,Hatay Belediye,1_post_quake,hatay,4.47051763818226,0.8276882629313165,1.1739251116389768,0.9284072872474473,0.0,1.9054899,2.0573232,2.0013814,1.4363438
hatay_bld_0302,Hatay Belediye,5_post_local,hatay,4.392582782743306,0.7530224590261875,0.9686542115528064,1.1900292076883086,0.2685601389893921,2.1247585,2.2193408,2.2760892,0.9526603
kmaras_bld_0434,Kahramanmaraş Belediye,3_inter_election,kahramanmaras,4.3310399953728895,0.363642650160902,2.2753784057328295,1.2884459987333792,0.0,1.961911,2.9945788,2.5469654,0.75505185
tccb_0040,TCCB,1_post_quake,national,4.188152756588587,0.923604456506159,2.817768176786253,2.2131842466551817,0.443711610346689,2.0817127,1.5022585,2.0391953,1.9842575
tccb_0287,TCCB,5_post_local,national,4.1128941951018625,0.6420144022608614,1.8630476609494495,1.0306451808143713,0.5512907608734549,1.6099625,3.0,2.2966056,1.2933241
csb_0348,CSB,3_inter_election,national,4.105890794990989,1.017437902690951,1.4453222622683792,0.8351869509278286,1.0104984891218525,2.2843914,1.7012112,1.9083652,2.5203686
csb_0044,CSB,1_post_quake,national,4.059933535584333,0.7660274443728811,1.225411248679204,1.9308417713635817,0.0,2.058004,1.8126509,2.2877736,1.8237855
csb_0455,CSB,3_inter_election,national,3.995401293559187,0.8749491161807204,2.314929835503513,0.9656627418751472,1.0517194838884592,2.0202053,2.1712928,1.8342447,2.8896456
csb_0424,CSB,3_inter_election,national,3.947537967480525,1.5345814696648652,1.3853876643569163,0.6947587652563103,0.4055538619552154,3.0,1.2027057,1.6623764,1.7373737
csb_0502,CSB,3_inter_election,national,3.9303663127696016,0.7894972144225738,1.5567581658704015,1.414756176587404,1.1245073620908224,1.8090222,1.180466,2.0887892,2.9850235
tccb_0029,TCCB,1_post_quake,national,3.9051635115137913,0.7282899477990342,2.1730852817349495,1.6663722575976792,0.046469801354546,2.5443895,2.8100288,2.241172,0.9237905
hatay_bld_0389,Hatay Belediye,5_post_local,hatay,3.8954341975062303,0.757152781163531,0.5664709132714137,1.0401633333829574,0.6816964746758671,1.8911201,1.5291734,1.843467,1.6771572
csb_0706,CSB,5_post_local,kahramanmaras,3.8913814579548966,1.0000709042294218,0.9998771379723044,2.0000495791295876,0.0031132507137901,2.597663,2.6740742,2.2750354,0.34771973
csb_0452,CSB,3_inter_election,national,3.8294569668405245,1.1350674627398554,1.632891093713685,0.900603071654513,1.3047643050514224,2.2308474,2.128994,1.9550718,2.4878697
kmaras_val_0052,Kahramanmaraş Valiliği,3_inter_election,kahramanmaras,3.817069338515672,0.9373716955539386,1.4822570079551398,1.5911184564330068,0.125048251542243,2.3246725,2.7809277,2.3756208,0.47164375
csb_0300,CSB,3_inter_election,national,3.8040944196979325,1.3442019133670218,1.994695105679096,1.7162215676941652,0.2649347049199769,3.0,1.5677176,2.0882058,1.6142693
