group_type,group,frame,rank,word,mean_saliency,doc_count
province,hatay,sustainability,10,i̇kli̇m,0.00412,2
province,hatay,sustainability,11,altyapı,0.00402,3
province,hatay,sustainability,12,haziran,0.0039,2
province,hatay,sustainability,13,erzin,0.00376,2
province,hatay,sustainability,14,nde,0.00336,4
province,hatay,sustainability,15,bakani,0.00328,2
province,hatay,sustainability,16,ilçesine,0.00313,2
province,hatay,sustainability,17,çalışmalarına,0.0031,2
province,hatay,sustainability,18,sırasında,0.00299,2
province,hatay,sustainability,19,akom,0.00295,3
province,hatay,sustainability,20,konusunda,0.00291,2
province,adiyaman,technical,1,vatandaşımızın,0.01901,2
province,adiyaman,technical,2,yapı,0.01697,2
province,adiyaman,technical,3,kentsel,0.01432,2
province,adiyaman,technical,4,deği̇şi̇kli̇ği̇,0.00903,5
province,adiyaman,technical,5,bakani,0.00831,5
province,adiyaman,technical,6,dünyayı,0.00784,2
province,adiyaman,technical,7,milletimizin,0.00685,2
province,adiyaman,technical,8,sağlam,0.00676,2
province,adiyaman,technical,9,projesi̇,0.00513,2
province,adiyaman,technical,10,nde,0.005,2
province,adiyaman,technical,11,inşa,0.00491,3
province,adiyaman,technical,12,i̇kli̇m,0.00463,5
province,adiyaman,technical,13,açıkladı,0.00423,2
province,adiyaman,technical,14,şehi̇rci̇li̇k,0.00416,5
province,adiyaman,technical,15,ağır,0.00402,2
province,adiyaman,technical,16,yapımı,0.00395,3
province,adiyaman,technical,17,depremzede,0.00371,2
province,adiyaman,technical,18,mimari,0.0037,2
province,adiyaman,technical,19,birlikte,0.00347,3
province,adiyaman,technical,20,mübarek,0.00335,3
province,adiyaman,political,1,binaların,0.01384,2
province,adiyaman,political,2,projesi,0.0114,2
province,adiyaman,political,3,unsurların,0.01104,2
province,adiyaman,political,4,vatandaşımızın,0.01073,2
province,adiyaman,political,5,önümüzde,0.00944,2
province,adiyaman,political,6,ezelden,0.00911,2
province,adiyaman,political,7,kalbi̇,0.00832,2
province,adiyaman,political,8,konuştu,0.00826,4
province,adiyaman,political,9,meydan,0.00703,4
province,adiyaman,political,10,töreni,0.00693,2
province,adiyaman,political,11,konutları,0.00692,2
province,adiyaman,political,12,kutlamalarına,0.00665,2
province,adiyaman,political,13,adiyamanli,0.0061,2
province,adiyaman,political,14,iklimi,0.00559,2
province,adiyaman,political,15,kutlandı,0.00528,2
province,adiyaman,political,16,valiliği,0.00528,2
province,adiyaman,political,17,kabulü,0.00517,2
province,adiyaman,political,18,yılı,0.0045,2
province,adiyaman,political,19,telefonla,0.00446,2
province,adiyaman,political,20,görev,0.00433,3
province,adiyaman,development,1,vatandaşımızın,0.02468,2
province,adiyaman,development,2,projesi̇,0.01175,2
province,adiyaman,development,3,sağlam,0.01086,2
province,adiyaman,development,4,bakani,0.00663,5
province,adiyaman,development,5,yapımı,0.00621,3
province,adiyaman,development,6,incelemelerde,0.00613,2
province,adiyaman,development,7,bayramı,0.00596,2
province,adiyaman,development,8,adiyaman,0.00557,7
province,adiyaman,development,9,dünyayı,0.00554,2
province,adiyaman,development,10,şan,0.00541,2
province,adiyaman,development,11,nde,0.00508,2
province,adiyaman,development,12,kamu,0.00473,2
province,adiyaman,development,13,yerinde,0.00427,2
province,adiyaman,development,14,etti,0.00405,5
province,adiyaman,development,15,şehi̇rci̇li̇k,0.00394,5
province,adiyaman,development,16,ihtiyaç,0.00381,2
province,adiyaman,development,17,konuştu,0.00308,4
province,adiyaman,development,18,kalbi̇,0.00307,2
province,adiyaman,development,19,özhaseki̇,0.00302,3
province,adiyaman,development,20,şubat,0.00296,3
province,adiyaman,sustainability,1,sınavı,0.00581,2
province,adiyaman,sustainability,2,yükseköğretim,0.00563,2
province,adiyaman,sustainability,3,emlak,0.00442,2
province,adiyaman,sustainability,4,birlikte,0.00402,3
province,adiyaman,sustainability,5,açıkladı,0.004,2
province,adiyaman,sustainability,6,incelemelerde,0.00362,2
province,adiyaman,sustainability,7,yana,0.00355,2
province,adiyaman,sustainability,8,yardımcısı,0.00351,2
province,adiyaman,sustainability,9,dünyayı,0.00276,2
province,adiyaman,sustainability,10,kalıcı,0.00263,2
province,adiyaman,sustainability,11,i̇kli̇m,0.00261,5
province,adiyaman,sustainability,12,nde,0.00258,2
province,adiyaman,sustainability,13,ticari,0.00254,3
province,adiyaman,sustainability,14,bölgesine,0.00242,2
province,adiyaman,sustainability,15,kurulu,0.00203,3
province,adiyaman,sustainability,16,dünya,0.0018,2
province,adiyaman,sustainability,17,100,0.00167,2
province,adiyaman,sustainability,18,engelli,0.00162,2
province,adiyaman,sustainability,19,küçük,0.00161,5
province,adiyaman,sustainability,20,insan,0.0015,2
