period,technical,political,development,sustainability
1_post_quake,0.46014331897757893,0.5618293698,0.5758029071648421,0.17684885413642107
2_pres_campaign,0.4155465360825843,0.5893611476269662,0.5987029865016854,0.2074379957539326
3_inter_election,0.38849309983188746,0.5004483506802907,0.5268019201485461,0.2047456502538938
4_local_campaign,0.41901128218239436,0.6596956621922535,0.5280168637253521,0.20520811715605636
5_post_local,0.32708188316311027,0.4178747718198915,0.488999576316094,0.1872808909538879
